@id,title,dateCreated,dateModified,sameAs,storageRegion.prefLabel,storageByteCount,creator.@id,creator.name,usage.viewCount,resourceNature.displayLabel,rights.name,hasOsfAddon.prefLabel,funder.name
https://test.osf.io/v2wts,Py3 From Quick File,2020-01-16,2020-01-16,,Canada - Montréal,0,https://test.osf.io/rx4vp,Blue Middle Family,,,,,
https://test.osf.io/3mv9q,UAT Component,2025-11-20,2025-11-20,,United States,0,https://test.osf.io/nvxzg,Josh Hernandez,5,,,,
https://test.osf.io/3vmeh,Mobile Health,2024-12-04,2025-02-25,,United States,11979,https://test.osf.io/qa6hy,Adrian Novak,,Book,,ownCloud,
https://test.osf.io/q38cw,Fork of Curriculum test &amp; ^ % # &gt; &lt;,2025-10-17,2025-10-17,,United States,601656,https://test.osf.io/cdr63,Eric Olson,,,CC0 1.0 Universal,Bitbucket ; Box ; Dataverse ; Dropbox ; Github ; Google Drive ; S3 ; Zotero,
https://test.osf.io/xkhr6,this is a sub project,2025-02-26,2025-03-04,,United States,0,https://test.osf.io/atryg ; https://test.osf.io/c78ru,Blaine Butler ; Gretchen Gueguen,,,,,
https://test.osf.io/tavwh,c6,2020-11-16,2021-03-23,,United States,0,https://test.osf.io/kbc2d,Matt,,,,,
https://test.osf.io/ug7kz,Protocol 2,2023-01-26,2023-09-28,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,CC0 1.0 Universal,,
https://test.osf.io/jskqf,Data,2023-09-05,2025-11-20,,United States,0,https://test.osf.io/c78ru,Gretchen Gueguen,4,,CC0 1.0 Universal,,
https://test.osf.io/bc8u3,Legacy Affiliation,2019-03-28,2019-04-27,,United States,170455,https://test.osf.io/k2gfx ; https://test.osf.io/rx4vp,Onyx ; Blue Middle Family,1,,,,
https://test.osf.io/ruwts,Test supplement project,2025-01-13,2025-01-13,,United States,0,https://test.osf.io/kzqhy,Ramyashri Virajamangala,,,,,
https://test.osf.io/bcu5d,Slime is Just Slime,2017-08-16,2017-08-16,,United States,0,https://test.osf.io/j7zqc,Todd Sacco,,,CC0 1.0 Universal,,
https://test.osf.io/u3pex,Test 100,2022-11-23,2023-09-28,,United States,0,https://test.osf.io/atryg,Blaine Butler,,,Apache License 2.0,,
